,Customer_id,City,State,County,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timely Responses,Timely Fixes,Timely Replacements,Reliability,Options,Respectfulness Response,Courteous Exchange,Active Listening
10,J980369,Little Meadows,PA,Susquehanna,555,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,33186.785,Separated,Female,No,11.83511269,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4
11,E243720,Corozal,PR,Corozal,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,36.19603,148.3640874,1180.588788,4,4,3,4,4,4,3,4
12,F139569,Conesville,IA,Muscatine,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3
13,X44200,East Livermore,ME,Androscoggin,0,Urban,America/New_York,Learning disability nurse,5.0,53.0,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.568343834,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4
14,H68068,Hillside,IL,Cook,8165,Urban,America/Chicago,Automotive engineer,1.0,30.0,Associate's Degree,Full Time,64256.81,Separated,Male,Yes,12.63069124,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,160.8055418,3382.424,3,3,4,2,3,4,4,2
15,A403906,Saint Germain,WI,Vilas,2093,Suburban,America/Chicago,Amenity horticulturist,1.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2
16,V847470,Modesto,CA,Stanislaus,50079,Urban,America/Los_Angeles,Applications developer,1.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
17,F721878,Parkton,NC,Robeson,7249,Rural,America/New_York,Immunologist,1.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.21790303,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,36.19603,203.0695973,882.0985933,2,2,4,3,3,4,3,3
18,F487435,Oakland,TN,Fayette,9463,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.10106846,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
19,B561228,Trafford,AL,Blount,3177,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.08853215,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
20,X325271,Kaneville,IL,Kane,69,Rural,America/Chicago,Counsellor,4.0,53.0,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.18669792,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
21,I282896,Columbus,OH,Franklin,14440,Suburban,America/New_York,Geophysical data processor,3.0,30.0,Regular High School Diploma,Retired,33186.785,Divorced,Male,No,6.520830558,18,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.0317766,594.1054279,5,5,4,4,3,4,3,5
22,I367206,Mallard,IA,Palo Alto,381,Urban,America/Chicago,"Designer, multimedia",1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.970974396,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5
23,N37182,Baileyville,ME,Washington,2193,Urban,America/New_York,Event organiser,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.490198816,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3
24,U644626,Williamsburg,OH,Clermont,9434,Rural,America/New_York,Equality and diversity officer,3.0,75.0,Regular High School Diploma,Full Time,28520.32,Widowed,Female,Yes,14.54825704,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256,163.3124055,870.76398,3,3,4,2,4,4,3,4
25,A766555,Saint Augustine,FL,St. Johns,29568,Suburban,America/New_York,Counsellor,1.0,77.0,GED or Alternative Credential,Full Time,12558.83,Separated,Male,Yes,11.37952059,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
26,V54032,Tohatchi,NM,McKinley,3089,Rural,America/Denver,Psychiatrist,1.0,47.0,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,16.1723942,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
27,Z301326,Erie,MI,Monroe,5652,Urban,America/Detroit,"Surveyor, commercial/residential",1.0,70.0,Master's Degree,Part Time,43882.72,Widowed,Female,Yes,15.8467065,12,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.392421597,141.092117,419.0508708,2,2,3,4,4,2,2,2
28,J887250,Moretown,VT,Washington,1716,Urban,America/New_York,Civil Service administrator,3.0,53.0,Regular High School Diploma,Full Time,33186.785,Separated,Female,Yes,43.92705189,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),36.19603,230.6237646,1259.415493,3,4,3,3,2,4,4,2
29,Z686376,Silver Spring,MD,Montgomery,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69.0,Bachelor's Degree,Student,33186.785,Never Married,Male,Yes,12.35437248,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,259.3879183,1745.125956,4,4,4,3,2,5,5,4
30,L357432,Whitesboro,NY,Oneida,11268,Urban,America/New_York,Air traffic controller,9.0,45.0,No Schooling Completed,Part Time,43383.54,Married,Male,No,7.472844182,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2
31,V899967,Sherwood,OH,Defiance,1765,Rural,America/New_York,Dietitian,1.0,40.0,"9th Grade to 12th Grade, No Diploma",Unemployed,21793.88,Never Married,Female,No,4.776157747,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,No,Electronic Check,36.19603,147.8152871,492.4771472,2,3,4,3,3,2,4,3
32,G571225,Pe Ell,WA,Lewis,680,Rural,America/Los_Angeles,"Therapist, occupational",6.0,82.0,GED or Alternative Credential,Retired,51960.51,Divorced,Female,Yes,8.913416857,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5
33,S381541,Seney,MI,Schoolcraft,136,Rural,America/Detroit,Building services engineer,5.0,53.0,Regular High School Diploma,Full Time,33186.785,Separated,Male,Yes,11.99819427,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,175.8247451,3382.424,5,5,4,3,5,3,4,1
34,R195593,Chatsworth,IL,Livingston,1517,Urban,America/Chicago,Information officer,1.0,53.0,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,5.312361826,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.4362279,1081.814362,6,5,5,5,2,6,5,5
35,I327596,Albion,MI,Calhoun,14103,Suburban,America/Detroit,Outdoor activities/education manager,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,8283.29,Never Married,Male,Yes,13.92937482,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588204,162.6090148,1209.961168,4,2,3,4,3,3,4,3
36,U790894,Marlborough,CT,Hartford,6394,Suburban,America/New_York,Market researcher,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Never Married,Female,Yes,44.72520233,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.312991809,258.4081654,897.5919144,4,3,5,5,2,4,5,5
37,O739489,Lafayette,NJ,Sussex,5059,Urban,America/New_York,"Surveyor, insurance",1.0,25.0,Bachelor's Degree,Full Time,33186.785,Never Married,Female,No,8.15350077,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527,138.7077155,1340.930156,5,6,4,2,5,3,3,3
38,I958127,Washington,DC,District of Columbia,20450,Suburban,America/New_York,Office manager,1.0,66.0,"Some College, Less than 1 Year",Full Time,25397.44,Divorced,Female,No,17.68357553,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563364,185.8072481,1113.993679,4,4,3,4,2,4,4,5
39,Z666770,Dublin,PA,Bucks,2123,Suburban,America/New_York,Editorial assistant,1.0,72.0,Regular High School Diploma,Full Time,50336.5,Divorced,Male,No,7.790281114,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.2911879,1530.10769,3,4,3,6,4,4,6,2
40,X711438,Mantoloking,NJ,Ocean,1164,Urban,America/New_York,Customer service manager,3.0,53.0,Regular High School Diploma,Full Time,38211.37,Divorced,Female,No,38.90533531,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682,199.9341262,3382.424,5,2,3,3,3,5,4,4
41,U369541,Sproul,PA,Blair,23,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,53.0,"Some College, 1 or More Years, No Degree",Retired,52887.26,Married,Male,No,6.522328696,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,36.19603,105.9429467,892.8964931,3,3,2,3,5,4,3,3
42,S896111,Springer,OK,Carter,895,Suburban,America/Chicago,Analytical chemist,4.0,41.0,Master's Degree,Full Time,12003.33,Divorced,Male,Yes,11.1979215,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4
43,K227200,Homer City,PA,Indiana,6699,Suburban,America/New_York,Print production planner,4.0,53.0,"Some College, Less than 1 Year",Retired,24090.62,Never Married,Male,No,8.561096928,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.7622768,2016.710031,3,3,3,3,4,3,3,4
44,E818912,New York,NY,New York,35743,Rural,America/New_York,Psychiatrist,0.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Never Married,Female,Yes,13.89466275,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
45,Y490834,Sagola,MI,Dickinson,320,Urban,America/Menominee,"Conservation officer, nature",2.0,44.0,Regular High School Diploma,Full Time,33186.785,Divorced,Female,Yes,10.87564115,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.4671211,3382.424,3,3,2,2,4,3,5,2
46,B609739,Peoria,IL,Peoria,7870,Suburban,America/Chicago,Broadcast presenter,1.0,23.0,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.60910718,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3
47,E687638,Acme,WA,Whatcom,861,Suburban,America/Los_Angeles,Applications developer,1.0,43.0,Regular High School Diploma,Full Time,37358.13,Never Married,Female,Yes,9.315148629,11,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,194.5713157,1213.940165,4,5,3,4,3,3,4,3
48,E492264,Chattanooga,TN,Hamilton,15364,Rural,America/New_York,"Librarian, public",1.0,86.0,"Some College, 1 or More Years, No Degree",Part Time,26534.16,Separated,Female,No,8.561161123,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3
49,W255321,Harvey,ND,Wells,2589,Suburban,America/Chicago,Financial adviser,2.0,84.0,Bachelor's Degree,Full Time,33186.785,Married,Female,No,12.37711977,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.42950948,897.9716153,3,3,4,3,5,3,3,4
50,S72442,Goodwater,AL,Coosa,4901,Urban,America/Chicago,"Surveyor, building",2.0,53.0,"9th Grade to 12th Grade, No Diploma",Retired,33186.785,Separated,Female,Yes,9.523347957,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4
51,O845020,Lexington,NC,Davidson,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,68.0,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.546827521,12,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
52,D805597,Transylvania,LA,East Carroll,456,Suburban,America/Chicago,Diagnostic radiographer,1.0,59.0,"9th Grade to 12th Grade, No Diploma",Student,38391.55,Never Married,Female,No,2.663660525,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,148.4154058,727.3731845,4,4,4,3,4,2,5,4
53,R189303,Jolley,IA,Calhoun,94,Urban,America/Chicago,"Doctor, general practice",0.0,31.0,Regular High School Diploma,Full Time,44137.6,Separated,Female,Yes,8.505759564,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,167.3108222,452.8721504,4,4,3,4,4,4,2,3
54,N142854,Miller,NE,Buffalo,315,Urban,America/Chicago,Insurance risk surveyor,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Widowed,Male,Yes,7.93962081,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,158.9035122,1296.674543,4,2,4,5,4,3,3,4
55,F522569,Welch,WV,McDowell,4969,Suburban,America/New_York,Heritage manager,1.0,58.0,"Some College, 1 or More Years, No Degree",Full Time,62359.91,Separated,Female,No,12.13605498,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3
56,L384793,Alvin,TX,Brazoria,46869,Suburban,America/Chicago,Legal executive,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4
57,C101444,Goleta,CA,Santa Barbara,58431,Rural,America/Los_Angeles,Professor Emeritus,1.0,33.0,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31019855,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.732948946,142.3770231,958.1397059,4,5,5,5,4,4,4,5
58,E987442,Racine,WI,Racine,26182,Suburban,America/Chicago,Radio producer,1.0,53.0,Regular High School Diploma,Full Time,14568.7,Separated,Male,Yes,11.23344836,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,221.1610613,3382.424,3,5,3,2,4,5,5,4
59,L54611,Chauncey,GA,Dodge,694,Rural,America/New_York,Barrister's clerk,0.0,49.0,"9th Grade to 12th Grade, No Diploma",Student,33186.785,Never Married,Female,No,9.276154842,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4
60,L85018,Porum,OK,Muskogee,3093,Suburban,America/Chicago,"Engineer, automotive",1.0,26.0,"Some College, 1 or More Years, No Degree",Unemployed,55319.23,Never Married,Female,No,7.273891516,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.871017037,163.8522919,1086.990308,5,5,4,4,3,4,4,4
61,O942919,Delavan,IL,Tazewell,2765,Urban,America/Chicago,Recruitment consultant,1.0,25.0,Bachelor's Degree,Full Time,81831.49,Widowed,Male,No,39.88390274,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4
62,I167253,Harveys Lake,PA,Luzerne,3757,Rural,America/New_York,Commercial horticulturist,0.0,42.0,"Some College, 1 or More Years, No Degree",Full Time,100076.65,Separated,Female,Yes,8.599583947,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
63,R110564,Eagar,AZ,Apache,4938,Rural,America/Phoenix,"Pharmacist, community",1.0,81.0,GED or Alternative Credential,Full Time,69965.65,Widowed,Male,No,5.487498047,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,91.90732298,1095.950634,5,5,5,3,4,3,2,5
64,M278354,Aulander,NC,Hertford,3761,Suburban,America/New_York,Forest/woodland manager,1.0,43.0,Regular High School Diploma,Full Time,34883.69,Divorced,Female,No,14.22358433,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,36.19603,128.1616569,1083.610268,4,4,4,3,4,4,3,3
65,W604879,Mokelumne Hill,CA,Calaveras,1851,Urban,America/Los_Angeles,"Designer, graphic",2.0,53.0,"9th Grade to 12th Grade, No Diploma",Full Time,33186.785,Never Married,Male,No,9.701727666,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,185.1946788,1570.641337,3,4,3,3,4,4,4,3
66,X345797,Wheeling,IL,Cook,38476,Suburban,America/Chicago,"Civil engineer, consulting",3.0,70.0,Regular High School Diploma,Full Time,10964.73,Married,Female,Yes,7.029314673,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),4.471254161,265.9812978,1007.425553,3,3,2,4,4,3,3,3
67,N189653,Nevada,MO,Vernon,13547,Urban,America/Chicago,Science writer,1.0,53.0,"9th Grade to 12th Grade, No Diploma",Full Time,33186.785,Widowed,Male,Yes,10.76672425,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),10.79028074,207.5721417,1323.028419,4,4,3,6,2,5,7,4
68,M562102,Slaton,TX,Lubbock,7801,Urban,America/Chicago,Health and safety inspector,0.0,48.0,"Some College, Less than 1 Year",Unemployed,52636.6,Separated,Male,No,7.802308089,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.24190682,152.3606978,1808.730555,3,1,2,2,5,2,2,1
69,X67911,Gillette,WY,Campbell,17823,Suburban,America/Denver,"Administrator, Civil Service",1.0,63.0,"Some College, 1 or More Years, No Degree",Retired,19048.13,Separated,Female,Yes,9.793779624,18,2,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),2.203859443,198.6516357,1120.241472,4,4,4,5,4,4,4,3
70,O834546,Roseburg,OR,Douglas,20269,Urban,America/Los_Angeles,Technical sales engineer,4.0,60.0,"Some College, 1 or More Years, No Degree",Full Time,42784.82,Married,Female,Yes,5.824350345,12,0,0,No,One year,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,23.92132231,212.350527,2676.789803,5,5,6,5,3,7,5,5
71,I493092,North Royalton,OH,Cuyahoga,30225,Rural,America/New_York,Special educational needs teacher,0.0,87.0,Regular High School Diploma,Full Time,77996.88,Divorced,Male,Yes,7.013094993,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),3.7311787,254.1636111,1268.086909,3,3,4,5,4,3,5,4
